id,type,name,url,category,categoryName,description,tags,featured,priority,addedAt,meta
fan-america-time-youtube,youtube-channel,范琪斐的美国时间,https://www.youtube.com/@TheStormMedia,youtube-news-public-affairs,新闻与公共议题,以美国政治、国际关系和台湾公共讨论为主，节目形态包含评论、访谈和议题拆解。,美国 | 访谈 | 公共议题,true,6,2026-06-09,台湾 / 繁中
wang-zhian-youtube,youtube-channel,王志安,https://www.youtube.com/@wangzhian,youtube-news-public-affairs,新闻与公共议题,中文时事评论频道，常以长节目形式分析新闻事件、公共政策和社会议题争议。,时事 | 评论 | 公共议题,false,7,2026-06-09,海外 / 简中
wenzhao-youtube,youtube-channel,文昭谈古论今,https://www.youtube.com/@wenzhaoofficial,youtube-news-public-affairs,新闻与公共议题,中文时政和历史评论频道，结合历史背景、国际关系和现实新闻做长线解读。,时政 | 历史 | 评论,false,8,2026-06-09,海外 / 中文
shasha77-youtube,youtube-channel,志祺七七,https://www.youtube.com/@shasha77,youtube-news-public-affairs,新闻与公共议题,台湾议题解释型频道，用图文和短片拆解公共政策、社会现象、国际事件和文化议题。,解释 | 台湾 | 社会,true,9,2026-06-09,台湾 / 繁中
bailingguo-youtube,youtube-channel,百灵果 News,https://www.youtube.com/@bailingguo,youtube-news-public-affairs,新闻与公共议题,中文新闻谈话与播客型频道，以国际新闻、台湾社会、人物访谈和轻松评论为主。,播客 | 新闻 | 访谈,false,10,2026-06-09,台湾 / 繁中
liyongle-youtube,youtube-channel,李永乐老师,https://www.youtube.com/@TeacherLiYongLe,youtube-knowledge-education,知识教育,面向大众的数学、物理和科学解释频道，用板书方式讲解概念、新闻背后的科学原理。,科学 | 数学 | 物理,true,21,2026-06-09,海外 / 简中
luoxiang-youtube,youtube-channel,罗翔说刑法,https://www.youtube.com/@luoxiang,youtube-knowledge-education,知识教育,法律知识普及频道，围绕刑法案例、法治观念、社会伦理和公共讨论做解释。,法律 | 教育 | 案例,false,22,2026-06-09,海外 / 简中
chuchushoe-youtube,youtube-channel,啾啾鞋,https://www.youtube.com/@chuchushoeTW,youtube-knowledge-education,知识教育,台湾知识型创作者，内容涵盖科学冷知识、心理学、社会现象和书籍概念整理。,知识 | 科学 | 心理,true,23,2026-06-09,台湾 / 繁中
cheap-history-youtube,youtube-channel,Cheap,https://www.youtube.com/@CheapHistory,youtube-knowledge-education,知识教育,台湾历史和交通议题频道，用大众化叙事讲历史故事、城市规划和公共交通议题。,历史 | 交通 | 台湾,false,24,2026-06-09,台湾 / 繁中
x-investigations-youtube,youtube-channel,X 调查,https://www.youtube.com/@XInvestigations,youtube-knowledge-education,知识教育,案件和社会事件叙事频道，整理真实事件、人物背景、时间线和相关公开资料。,案件 | 叙事 | 资料,false,25,2026-06-09,中文 / 叙事
funscience-youtube,youtube-channel,芳斯塔芙,https://www.youtube.com/@FunScience,youtube-knowledge-education,知识教育,科普内容频道，使用动画和实验解释科学概念、自然现象、人体知识和生活问题。,科普 | 动画 | 自然,false,26,2026-06-09,中文 / 科普
vincentbook-youtube,youtube-channel,文森说书,https://www.youtube.com/@vincentbook,youtube-knowledge-education,知识教育,读书和知识整理频道，围绕商业、心理、社会科学和个人成长类书籍做结构化讲解。,读书 | 知识 | 心理,false,27,2026-06-09,中文 / 读书
aottergirls-youtube,youtube-channel,电獭少女,https://www.youtube.com/@aottergirls,youtube-tech-digital,科技与数码,台湾数码科技频道，提供手机、电脑、应用、AI 工具和消费电子新品体验。,数码 | 手机 | AI,true,16,2026-06-09,台湾 / 繁中
3c-tim-youtube,youtube-channel,3C Tim哥生活日常,https://www.youtube.com/@3CTim,youtube-tech-digital,科技与数码,台湾 3C 频道，重点是手机、配件、Apple 生态、消费电子和实用购买建议。,3C | 手机 | Apple,false,17,2026-06-09,台湾 / 繁中
techdog-youtube,youtube-channel,科技狗 3C Dog,https://www.youtube.com/@TechDog,youtube-tech-digital,科技与数码,数码评测频道，覆盖智能手机、电脑周边、相机设备、家电和使用体验比较。,评测 | 数码 | 硬件,false,18,2026-06-09,台湾 / 繁中
geekerwan-youtube,youtube-channel,极客湾 Geekerwan,https://www.youtube.com/@Geekerwan,youtube-tech-digital,科技与数码,硬件评测和技术解析频道，擅长手机芯片、电脑硬件、性能测试和工程向解释。,硬件 | 性能 | 芯片,true,19,2026-06-09,海外 / 简中
mediastorm-youtube,youtube-channel,影视飓风,https://www.youtube.com/@mediastormfilm,youtube-tech-digital,科技与数码,影像技术和创作频道，覆盖摄影器材、后期流程、影像制作、创作者设备和实验项目。,影像 | 摄影 | 创作,true,20,2026-06-09,海外 / 简中
chienseating-youtube,youtube-channel,千千进食中,https://www.youtube.com/@chienseating,youtube-food-travel,美食旅行,台湾美食频道，内容覆盖餐厅探店、吃到饱、地方小吃、旅行餐桌和饮食体验。,美食 | 台湾 | 探店,true,35,2026-06-09,台湾 / 繁中
ladyflavor-youtube,youtube-channel,好味小姐,https://www.youtube.com/@LadyFlavor,youtube-food-travel,美食旅行,台湾生活与料理频道，核心内容包含家庭料理、日常记录、品牌企划和生活感内容。,生活 | 料理 | 台湾,false,36,2026-06-09,台湾 / 繁中
kusdream-youtube,youtube-channel,Ku's dream 酷的梦,https://www.youtube.com/@Kusdream,youtube-food-travel,美食旅行,法国创作者在台湾的旅行和文化频道，覆盖台湾生活、地方体验和跨文化观察。,旅行 | 台湾 | 文化,true,37,2026-06-09,台湾 / 多语
dodomen-youtube,youtube-channel,The DoDo Men,https://www.youtube.com/@TheDoDoMen,youtube-food-travel,美食旅行,旅行和挑战型频道，常用企划形式记录世界旅行、户外体验、文化探索和人生主题。,旅行 | 挑战 | 生活,true,38,2026-06-09,台湾 / 繁中
liziqi-youtube,youtube-channel,李子柒,https://www.youtube.com/@cnliziqi,youtube-food-travel,美食旅行,传统生活美学频道，以乡村生活、手作料理、节气文化和东方审美影像获得全球关注。,生活美学 | 料理 | 文化,true,39,2026-06-09,中文 / 生活
dianxi-xiaoge-youtube,youtube-channel,滇西小哥,https://www.youtube.com/@dianxixiaoge,youtube-food-travel,美食旅行,云南乡村美食和生活频道，展示地方食材、传统料理、家庭生活和地域文化。,美食 | 乡村 | 文化,false,40,2026-06-09,中文 / 生活
magic-ingredients-youtube,youtube-channel,小高姐的 Magic Ingredients,https://www.youtube.com/@MagicIngredients,youtube-food-travel,美食旅行,家庭烹饪教学频道，清晰讲解面食、家常菜、烘焙和中式料理的原理与步骤。,料理 | 教学 | 家常菜,false,41,2026-06-09,海外 / 中文
chef-wang-youtube,youtube-channel,美食作家王刚,https://www.youtube.com/@chefwang,youtube-food-travel,美食旅行,中餐烹饪教学频道，重点展示川菜、家常菜、刀工火候和厨房实操技法。,中餐 | 川菜 | 教学,false,42,2026-06-09,中文 / 料理
amanda-tastes-youtube,youtube-channel,曼食慢语,https://www.youtube.com/@AmandaTastes,youtube-food-travel,美食旅行,料理和生活方式频道，提供中西料理、节日菜、甜点、厨房技巧和餐桌审美内容。,料理 | 生活 | 甜点,false,43,2026-06-09,中文 / 料理
stopkiddinstudio-youtube,youtube-channel,不要闹工作室,https://www.youtube.com/@stopkiddinstudio,youtube-food-travel,美食旅行,以在台外国人和台湾文化为核心，记录语言、城市、饮食、旅行和跨文化互动。,台湾 | 文化 | 旅行,false,44,2026-06-09,台湾 / 多语
rayduenglish-youtube,youtube-channel,阿滴英文,https://www.youtube.com/@rayduenglish,youtube-language-learning,语言学习,台湾英语学习频道，提供英文表达、学习方法、发音、考试准备和跨文化主题内容。,英语 | 学习 | 台湾,true,28,2026-06-09,台湾 / 繁中
mandarin-corner-youtube,youtube-channel,Mandarin Corner,https://www.youtube.com/@MandarinCorner2,youtube-language-learning,语言学习,面向中文学习者的频道，提供真实语速访谈、词汇讲解、听力练习和普通话输入材料。,普通话 | 听力 | 学习,false,29,2026-06-09,全球 / 中英
yoyo-chinese-youtube,youtube-channel,Yoyo Chinese,https://www.youtube.com/@YoyoChinese,youtube-language-learning,语言学习,系统中文学习频道，包含拼音、语法、口语、听力训练和面向英语母语者的课程内容。,中文学习 | 课程 | 口语,false,30,2026-06-09,全球 / 中英
grace-mandarin-youtube,youtube-channel,Grace Mandarin Chinese,https://www.youtube.com/@GraceMandarinChinese,youtube-language-learning,语言学习,普通话教学频道，重点讲解自然表达、语法差异、台湾用语和中文学习常见难点。,普通话 | 台湾 | 教学,false,31,2026-06-09,台湾 / 中英
chinesepod-youtube,youtube-channel,ChinesePod,https://www.youtube.com/@ChinesePodTV,youtube-language-learning,语言学习,老牌中文学习品牌的 YouTube 入口，提供分级课程、日常对话、词汇和文化内容。,中文学习 | 课程 | 词汇,false,32,2026-06-09,全球 / 中英
dashu-mandarin-youtube,youtube-channel,Dashu Mandarin,https://www.youtube.com/@DashuMandarin,youtube-language-learning,语言学习,普通话学习频道，提供慢速对话、真实聊天、学习者访谈和多口音中文听力材料。,普通话 | 听力 | 对话,false,33,2026-06-09,全球 / 中英
mandarin-blueprint-youtube,youtube-channel,Mandarin Blueprint,https://www.youtube.com/@MandarinBlueprint,youtube-language-learning,语言学习,中文学习方法频道，围绕汉字记忆、发音训练、学习路径和课程片段提供内容。,汉字 | 发音 | 方法,false,34,2026-06-09,全球 / 中英
pomato-youtube,youtube-channel,Pomato 小薯茄,https://www.youtube.com/@PomatoHK,youtube-hong-kong-southeast-asia,香港与东南亚,香港粤语娱乐团队，制作短剧、综艺企划、人物角色和本地流行文化内容。,香港 | 粤语 | 短剧,true,56,2026-06-09,香港 / 粤语
trial-and-error-youtube,youtube-channel,Trial & Error,https://www.youtube.com/@TrialAndError924,youtube-hong-kong-southeast-asia,香港与东南亚,香港粤语创作团队，内容包含生活挑战、都市观察、实验企划和娱乐访谈。,香港 | 粤语 | 企划,false,57,2026-06-09,香港 / 粤语
fhproductionhk-youtube,youtube-channel,FHProductionHK,https://www.youtube.com/@FHProductionHK,youtube-hong-kong-southeast-asia,香港与东南亚,香港网络短片团队，以校园、职场、感情和城市生活题材的粤语短剧见长。,香港 | 短剧 | 粤语,false,58,2026-06-09,香港 / 粤语
mill-milk-youtube,youtube-channel,米纸,https://www.youtube.com/@MillMilk,youtube-hong-kong-southeast-asia,香港与东南亚,香港人物和社区故事频道，关注本地饮食、街区文化、人物专访和城市记忆。,香港 | 人物 | 社区,true,59,2026-06-09,香港 / 粤语
100most-youtube,youtube-channel,毛记电视,https://www.youtube.com/user/100mosthk,youtube-hong-kong-southeast-asia,香港与东南亚,香港网络媒体和娱乐品牌，内容包含讽刺短片、节目片段、本地娱乐和流行文化。,香港 | 娱乐 | 媒体,false,60,2026-06-09,香港 / 粤语
dimcookguide-youtube,youtube-channel,点 Cook Guide,https://www.youtube.com/@dimcookguide,youtube-hong-kong-southeast-asia,香港与东南亚,香港粤语料理频道，提供家常菜、港式美食、厨房技巧和易跟做的食谱影片。,香港 | 料理 | 粤语,false,61,2026-06-09,香港 / 粤语
singsing-kitchen-youtube,youtube-channel,职人吹水,https://www.youtube.com/@singSingKitchen,youtube-hong-kong-southeast-asia,香港与东南亚,香港粤语厨艺频道，以餐饮从业经验讲解港式料理、厨房流程和实用烹饪技巧。,香港 | 厨艺 | 粤语,false,62,2026-06-09,香港 / 粤语
jinnyboytv-youtube,youtube-channel,JinnyboyTV,https://www.youtube.com/user/JinnyboyTV,youtube-hong-kong-southeast-asia,香港与东南亚,马来西亚网络创作团队，制作英文和华语受众都熟悉的短片、人物故事和喜剧内容。,马来西亚 | 短片 | 喜剧,false,63,2026-06-09,马来西亚 / 多语
the-ming-thing-youtube,youtube-channel,The Ming Thing,https://www.youtube.com/@TheMingThing,youtube-hong-kong-southeast-asia,香港与东南亚,马来西亚创作团队，内容涵盖都市青年生活、情感短剧、喜剧企划和品牌故事。,马来西亚 | 短剧 | 生活,false,64,2026-06-09,马来西亚 / 多语
wahbanana-youtube,youtube-channel,Wah!Banana,https://www.youtube.com/@WahBanana,youtube-hong-kong-southeast-asia,香港与东南亚,新加坡网络娱乐团队，制作英语和华语文化圈都容易理解的短剧、喜剧和生活观察。,新加坡 | 喜剧 | 短剧,false,65,2026-06-09,新加坡 / 多语
smileboyhk-youtube,youtube-channel,笑波子,https://www.youtube.com/@smileboyhk,youtube-hong-kong-southeast-asia,香港与东南亚,香港游戏和娱乐频道，提供游戏实况、挑战、角色内容和面向年轻用户的轻娱乐。,香港 | 游戏 | 娱乐,false,66,2026-06-09,香港 / 粤语
dajj-youtube,youtube-channel,大J,https://www.youtube.com/@dajj,youtube-hong-kong-southeast-asia,香港与东南亚,香港游戏与生活创作者，内容包含游戏评论、实况、个人生活和社会话题观察。,香港 | 游戏 | 生活,false,67,2026-06-09,香港 / 粤语
emiwong-youtube,youtube-channel,Emi Wong,https://www.youtube.com/@emiwong,youtube-hong-kong-southeast-asia,香港与东南亚,香港健身和生活方式频道，提供居家训练、身材管理、健康习惯和日常记录内容。,香港 | 健身 | 生活,false,68,2026-06-09,香港 / 英粤
coffeelam-youtube,youtube-channel,Coffee 林芊妤,https://www.youtube.com/@CoffeeLam,youtube-hong-kong-southeast-asia,香港与东南亚,香港瑜伽、健身和生活方式频道，提供训练课程、饮食记录和健康生活内容。,香港 | 瑜伽 | 生活,false,69,2026-06-09,香港 / 粤语
